cryo_id,colony,pae_treatment,temp_treatment,tank,cryo_rep,pae_ugL,freeze_date,cull_notes
2-PH2a,2,peak,hot,H2,a,150,8/17/2022,
2-PH2b,2,peak,hot,H2,b,150,8/17/2022,
2-OA1a,2,overdose,ambient,A1,a,500,8/17/2022,
2-OA1b,2,overdose,ambient,A1,b,500,8/17/2022,
2-OH1a,2,overdose,hot,H1,a,500,8/17/2022,
2-OH1b,2,overdose,hot,H1,b,500,8/17/2022,
3-CA1a,3,control,ambient,A1,a,0,8/17/2022,
3-CA1b,3,control,ambient,A1,b,0,8/17/2022,
3-CH2a,3,control,hot,H2,a,0,8/17/2022,
3-CH2b,3,control,hot,H2,b,0,8/17/2022,
3-LA1a,3,low,ambient,A1,a,0.5,8/17/2022,
3-LA1b,3,low,ambient,A1,b,0.5,8/17/2022,
3-LH1a,3,low,hot,H1,a,0.5,8/17/2022,
3-LH1b,3,low,hot,H1,b,0.5,8/17/2022,
3-MA2a,3,mid,ambient,A2,a,5,8/17/2022,
3-MA2b,3,mid,ambient,A2,b,5,8/17/2022,
3-MH2a,3,mid,hot,H2,a,5,8/17/2022,
3-MH2b,3,mid,hot,H2,b,5,8/17/2022,
3-HA2a,3,high,ambient,A2,a,50,8/17/2022,
3-HA2b,3,high,ambient,A2,b,50,8/17/2022,
3-HH2a,3,high,hot,H2,a,50,8/17/2022,
3-HH2b,3,high,hot,H2,b,50,8/17/2022,
3-PA1a,3,peak,ambient,A1,a,150,8/17/2022,
3-PA1b,3,peak,ambient,A1,b,150,8/17/2022,
3-PH1a,3,peak,hot,H1,a,150,8/17/2022,
3-PH1b,3,peak,hot,H1,b,150,8/17/2022,
3-OA1a,3,overdose,ambient,A1,a,500,8/17/2022,
3-OA1b,3,overdose,ambient,A1,b,500,8/17/2022,
3-OH2a,3,overdose,hot,H2,a,500,8/17/2022,
3-OH2b,3,overdose,hot,H2,b,500,8/17/2022,
4-CA1a,4,control,ambient,A1,a,0,8/17/2022,
4-CA1b,4,control,ambient,A1,b,0,8/17/2022,
4-CH1a,4,control,hot,H1,a,0,8/17/2022,
4-CH1b,4,control,hot,H1,b,0,8/17/2022,
4-LA2a,4,low,ambient,A2,a,0.5,8/17/2022,
4-LA2b,4,low,ambient,A2,b,0.5,8/17/2022,
4-LH2a,4,low,hot,H2,a,0.5,8/17/2022,
4-LH2b,4,low,hot,H2,b,0.5,8/17/2022,
4-MA2a,4,mid,ambient,A2,a,5,8/17/2022,
4-MA2b,4,mid,ambient,A2,b,5,8/17/2022,
4-MH1a,4,mid,hot,H1,a,5,8/17/2022,
4-MH1b,4,mid,hot,H1,b,5,8/17/2022,
4-HA2a,4,high,ambient,A2,a,50,8/17/2022,
4-HA2b,4,high,ambient,A2,b,50,8/17/2022,
4-HH1a,4,high,hot,H1,a,50,8/17/2022,
4-HH1b,4,high,hot,H1,b,50,8/17/2022,
4-PA2a,4,peak,ambient,A2,a,150,8/17/2022,
4-PA2b,4,peak,ambient,A2,b,150,8/17/2022,
4-PH1a,4,peak,hot,H1,a,150,8/17/2022,
4-PH1b,4,peak,hot,H1,b,150,8/17/2022,
4-OA2a,4,overdose,ambient,A2,a,500,8/17/2022,
4-OA2b,4,overdose,ambient,A2,b,500,8/17/2022,
4-OH2a,4,overdose,hot,H2,a,500,8/17/2022,
4-OH2b,4,overdose,hot,H2,b,500,8/17/2022,
5-CA2a,5,control,ambient,A2,a,0,8/17/2022,
5-CA2b,5,control,ambient,A2,b,0,8/17/2022,
5-CH2a,5,control,hot,H2,a,0,8/17/2022,
5-CH2b,5,control,hot,H2,b,0,8/17/2022,
5-LA1a,5,low,ambient,A1,a,0.5,8/17/2022,
5-LA1b,5,low,ambient,A1,b,0.5,8/17/2022,
5-LH1a,5,low,hot,H1,a,0.5,8/17/2022,
5-LH1b,5,low,hot,H1,b,0.5,8/17/2022,
5-MA1a,5,mid,ambient,A1,a,5,8/17/2022,placed in 5-HA1a because 5-MA1a was already accidentally usde for 8MA 
5-MA1b,5,mid,ambient,A1,b,5,8/17/2022,placed in 5-HA1b because 5-MA1b was already accidentally used for 8MA
5-MH1a,5,mid,hot,H1,a,5,8/17/2022,
5-MH1b,5,mid,hot,H1,b,5,8/17/2022,
5-HA1a,5,high,ambient,A1,a,50,8/17/2022,"New vials made on the fly, 15 or 16 on lid distinguishes this one from the mislabeled 5-MA samples"
5-HA1b,5,high,ambient,A1,b,50,8/17/2022,"New vials made on the fly, 15 or 16 on lid distinguishes this one from the mislabeled 5-MA samples"
5-HH1a,5,high,hot,H1,a,50,8/17/2022,
5-HH1b,5,high,hot,H1,b,50,8/17/2022,
5-PA2a,5,peak,ambient,A2,a,150,8/17/2022,
5-PA2b,5,peak,ambient,A2,b,150,8/17/2022,
5-PH1a,5,peak,hot,H1,a,150,8/17/2022,
5-PH1b,5,peak,hot,H1,b,150,8/17/2022,
5-OA2a,5,overdose,ambient,A2,a,500,8/17/2022,
5-OA2b,5,overdose,ambient,A2,b,500,8/17/2022,
5-OH1a,5,overdose,hot,H1,a,500,8/17/2022,
5-OH1b,5,overdose,hot,H1,b,500,8/17/2022,
6-CA1a,6,control,ambient,A1,a,0,8/17/2022,
6-CA1b,6,control,ambient,A1,b,0,8/17/2022,
6-CH1a,6,control,hot,H1,a,0,8/17/2022,
6-CH1b,6,control,hot,H1,b,0,8/17/2022,
6-LA2a,6,low,ambient,A2,a,0.5,8/17/2022,
6-LA2b,6,low,ambient,A2,b,0.5,8/17/2022,
6-LH1a,6,low,hot,H1,a,0.5,8/17/2022,
6-LH1b,6,low,hot,H1,b,0.5,8/17/2022,
6-MA1a,6,mid,ambient,A1,a,5,8/17/2022,
6-MA1b,6,mid,ambient,A1,b,5,8/17/2022,
6-MH1a,6,mid,hot,H1,a,5,8/17/2022,
6-MH1b,6,mid,hot,H1,b,5,8/17/2022,
6-HA2a,6,high,ambient,A2,a,50,8/17/2022,
6-HA2b,6,high,ambient,A2,b,50,8/17/2022,
6-HH1a,6,high,hot,H1,a,50,8/17/2022,
6-HH1b,6,high,hot,H1,b,50,8/17/2022,
6-PA2a,6,peak,ambient,A2,a,150,8/17/2022,
6-PA2b,6,peak,ambient,A2,b,150,8/17/2022,
6-PH2a,6,peak,hot,H2,a,150,8/17/2022,
6-PH2b,6,peak,hot,H2,b,150,8/17/2022,
6-OA1a,6,overdose,ambient,A1,a,500,8/17/2022,
6-OA1b,6,overdose,ambient,A1,b,500,8/17/2022,
6-OH1a,6,overdose,hot,H1,a,500,8/17/2022,
6-OH1b,6,overdose,hot,H1,b,500,8/17/2022,
7-CA2a,7,control,ambient,A2,a,0,8/17/2022,
7-CA2b,7,control,ambient,A2,b,0,8/17/2022,
7-CH2a,7,control,hot,H2,a,0,8/17/2022,
7-CH2b,7,control,hot,H2,b,0,8/17/2022,
7-LA2a,7,low,ambient,A2,a,0.5,8/17/2022,
7-LA2b,7,low,ambient,A2,b,0.5,8/17/2022,
7-LH1a,7,low,hot,H1,a,0.5,8/17/2022,
7-LH1b,7,low,hot,H1,b,0.5,8/17/2022,
7-MA1a,7,mid,ambient,A1,a,5,8/17/2022,
7-MA1b,7,mid,ambient,A1,b,5,8/17/2022,
7-MH2a,7,mid,hot,H2,a,5,8/17/2022,
7-MH2b,7,mid,hot,H2,b,5,8/17/2022,
7-HA1a,7,high,ambient,A1,a,50,8/17/2022,
7-HA1b,7,high,ambient,A1,b,50,8/17/2022,
7-HH2a,7,high,hot,H2,a,50,8/17/2022,
7-HH2b,7,high,hot,H2,b,50,8/17/2022,
7-PA1a,7,peak,ambient,A1,a,150,8/17/2022,
7-PA1b,7,peak,ambient,A1,b,150,8/17/2022,
7-PH1a,7,peak,hot,H1,a,150,8/17/2022,
7-PH1b,7,peak,hot,H1,b,150,8/17/2022,
7-OA2a,7,overdose,ambient,A2,a,500,8/17/2022,
7-OA2b,7,overdose,ambient,A2,b,500,8/17/2022,
7-OH1a,7,overdose,hot,H1,a,500,8/17/2022,
7-OH1b,7,overdose,hot,H1,b,500,8/17/2022,
8-CA1a,8,control,ambient,A1,a,0,8/17/2022,
8-CA1b,8,control,ambient,A1,b,0,8/17/2022,
8-CH2a,8,control,hot,H2,a,0,8/17/2022,
8-CH2b,8,control,hot,H2,b,0,8/17/2022,
8-LA2a,8,low,ambient,A2,a,0.5,8/17/2022,
8-LA2b,8,low,ambient,A2,b,0.5,8/17/2022,
8-LH1a,8,low,hot,H1,a,0.5,8/17/2022,
8-LH1b,8,low,hot,H1,b,0.5,8/17/2022,
8-MA1a,8,mid,ambient,A1,a,5,8/17/2022,vial labelled 8-MA1a leftover after cryo-freezing… probably this sample was placed in 5-MA1a vial on accident
8-MA1b,8,mid,ambient,A1,b,5,8/17/2022,vial labelled 8-MA1b leftover after cryo-freezing… probably this sample was placed in 5-MA1b vial on accident
8-MH2a,8,mid,hot,H2,a,5,8/17/2022,
8-MH2b,8,mid,hot,H2,b,5,8/17/2022,
8-HA1a,8,high,ambient,A1,a,50,8/17/2022,
8-HA1b,8,high,ambient,A1,b,50,8/17/2022,
8-HH1a,8,high,hot,H1,a,50,8/17/2022,
8-HH1b,8,high,hot,H1,b,50,8/17/2022,
8-PA1a,8,peak,ambient,A1,a,150,8/17/2022,
8-PA1b,8,peak,ambient,A1,b,150,8/17/2022,
8-PH1a,8,peak,hot,H1,a,150,8/17/2022,
8-PH1b,8,peak,hot,H1,b,150,8/17/2022,
8-OA1a,8,overdose,ambient,A1,a,500,8/17/2022,
8-OA1b,8,overdose,ambient,A1,b,500,8/17/2022,
8-OH2a,8,overdose,hot,H2,a,500,8/17/2022,
8-OH2b,8,overdose,hot,H2,b,500,8/17/2022,
9-CA1a,9,control,ambient,A1,a,0,8/17/2022,
9-CA1b,9,control,ambient,A1,b,0,8/17/2022,
9-CH2a,9,control,hot,H2,a,0,8/17/2022,
9-CH2b,9,control,hot,H2,b,0,8/17/2022,
9-LA2a,9,low,ambient,A2,a,0.5,8/17/2022,
9-LA2b,9,low,ambient,A2,b,0.5,8/17/2022,
9-LH1a,9,low,hot,H1,a,0.5,8/17/2022,
9-LH1b,9,low,hot,H1,b,0.5,8/17/2022,
9-MA2a,9,mid,ambient,A2,a,5,8/17/2022,
9-MA2b,9,mid,ambient,A2,b,5,8/17/2022,
9-MH2a,9,mid,hot,H2,a,5,8/17/2022,
9-MH2b,9,mid,hot,H2,b,5,8/17/2022,
9-HA1a,9,high,ambient,A1,a,50,8/17/2022,
9-HA1b,9,high,ambient,A1,b,50,8/17/2022,
9-HH2a,9,high,hot,H2,a,50,8/17/2022,
9-HH2b,9,high,hot,H2,b,50,8/17/2022,
9-PA2a,9,peak,ambient,A2,a,150,8/17/2022,
9-PA2b,9,peak,ambient,A2,b,150,8/17/2022,
9-PH2a,9,peak,hot,H2,a,150,8/17/2022,
9-PH2b,9,peak,hot,H2,b,150,8/17/2022,
9-OA2a,9,overdose,ambient,A2,a,500,8/17/2022,
9-OA2b,9,overdose,ambient,A2,b,500,8/17/2022,
9-OH1a,9,overdose,hot,H1,a,500,8/17/2022,
9-OH1b,9,overdose,hot,H1,b,500,8/17/2022,
10-CA1a,10,control,ambient,A1,a,0,8/17/2022,
10-CA1b,10,control,ambient,A1,b,0,8/17/2022,
10-CH2a,10,control,hot,H2,a,0,8/17/2022,
10-CH2b,10,control,hot,H2,b,0,8/17/2022,
10-LA1a,10,low,ambient,A1,a,0.5,8/17/2022,
10-LA1b,10,low,ambient,A1,b,0.5,8/17/2022,
10-LH1a,10,low,hot,H1,a,0.5,8/17/2022,
10-LH1b,10,low,hot,H1,b,0.5,8/17/2022,
10-MA1a,10,mid,ambient,A1,a,5,8/17/2022,
10-MA1b,10,mid,ambient,A1,b,5,8/17/2022,
10-MH2a,10,mid,hot,H2,a,5,8/17/2022,
10-MH2b,10,mid,hot,H2,b,5,8/17/2022,
10-HA2a,10,high,ambient,A2,a,50,8/17/2022,
10-HA2b,10,high,ambient,A2,b,50,8/17/2022,
10-HH2a,10,high,hot,H2,a,50,8/17/2022,
10-HH2b,10,high,hot,H2,b,50,8/17/2022,
10-PA1a,10,peak,ambient,A1,a,150,8/17/2022,
10-PA1b,10,peak,ambient,A1,b,150,8/17/2022,label fell off in liquid nitrogen bath! Cap should still have cryo_id
10-PH2a,10,peak,hot,H2,a,150,8/17/2022,
10-PH2b,10,peak,hot,H2,b,150,8/17/2022,
10-OA1a,10,overdose,ambient,A1,a,500,8/17/2022,
10-OA1b,10,overdose,ambient,A1,b,500,8/17/2022,
10-OH1a,10,overdose,hot,H1,a,500,8/17/2022,
10-OH1b,10,overdose,hot,H1,b,500,8/17/2022,
